# magnitude, 55Msun, 60Msun, 65Msun, 70Msun, 75Msun, 80Msun, 85Msun, 90Msun, 95Msun, Msun, 105Msun, 110Msun, 115Msun, 120Msun
4.000 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
4.250 8.030 4.350 3.320 32.72 2.110 1.530 1.200 1.020 0.8900 0.7900 0.7020 0.6480 0.6160 0.5600 
4.500 17.32 10.02 6.680 35.35 4.270 3.250 2.470 2.070 1.810 1.610 1.413 1.309 1.198 1.110 
4.750 27.26 17.54 10.17 39.40 6.470 4.960 3.810 3.180 2.770 2.440 2.163 1.990 1.771 1.670 
5.000 38.18 25.06 16.25 43.67 8.800 6.950 5.180 4.390 3.800 3.280 2.973 2.700 2.424 2.230 
5.250 49.80 33.44 22.70 48.15 12.41 9.430 6.920 5.670 4.870 4.300 3.870 3.427 3.164 2.810 
5.500 64.69 43.53 29.55 53.15 16.41 12.03 9.270 7.070 6.290 5.570 5.168 4.562 4.036 3.460 
5.750 81.31 54.09 36.91 58.81 20.68 14.97 11.76 8.970 8.040 6.980 6.446 5.806 5.092 4.340 
6.000 99.21 65.91 45.96 64.84 25.23 18.10 14.12 11.13 9.770 8.290 7.506 6.675 5.980 5.320 
6.250 118.4 79.36 55.85 71.45 30.18 21.40 16.55 13.16 11.26 9.640 8.596 7.543 6.710 6.030 
6.500 138.8 94.36 66.44 79.26 35.47 25.23 19.17 15.18 12.86 11.03 9.716 8.453 7.460 6.660 
6.750 159.2 108.9 77.80 87.86 41.38 29.32 22.19 17.35 14.64 12.51 10.91 9.413 8.240 7.300 
7.000 181.6 124.1 89.70 97.18 47.95 33.79 25.45 19.77 16.62 14.08 12.21 10.44 9.070 7.950 
7.250 206.5 140.1 102.5 106.9 55.08 38.74 29.00 22.44 18.76 15.84 13.64 11.56 9.950 8.610 
7.500 233.9 157.3 115.3 116.8 62.70 44.16 32.90 25.31 21.08 17.77 15.20 12.79 10.88 9.310 
